index,Filer_499_ID,LastFiling,USF_Contributor_1,Legal_Name_of_Carrier,Doing_Business_As,Principal_Comm_Type_1,Holding_Company,CORESID,Management_Company,HQ_Address1,HQ_Address2,HQ_Address3,HQ_City,HQ_State,HQ_Zip_Code,Customer_Inquiries_Address1,Customer_Inquiries_Address2,Customer_Inquiries_Address3,Customer_Inquiries_City,Customer_Inquiries_State,Customer_Inquiries_Zip_Code,Customer_Inquiries_Telephone,Customer_Inquiries_Ext,Other_Trade_Name1,Other_Trade_Name2,Other_Trade_Name3,Other_Trade_Name4,Other_Trade_Name5,Other_Trade_Name6,Other_Trade_Name7,Other_Trade_Name8,Other_Trade_Name9,Other_Trade_Name10,Other_Trade_Name11,Other_Trade_Name12,Other_Trade_Name13,DC_Agent1,DC_Agent2,DC_Agent_Telephone,DC_Agent_Ext,DC_Agent_Fax,DC_Agent_EMail,DC_Agent_Address1,DC_Agent_Address2,DC_Agent_Address3,DC_Agent_City,DC_Agent_State,DC_Agent_Zip,Alternate_Agent1,Alternate_Agent2,Alternate_Agent_Telephone,Alternate_Agent_Ext,Alternate_Agent_Fax,Alternate_Agent_EMail,Alternate_Agent_Address1,Alternate_Agent_Address2,Alternate_Agent_Address3,Alternate_Agent_City,Alternate_Agent_State,Alternate_Agent_Zip_Code,Alabama,Alaska,American_Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Johnston_Atoll,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Midway_Atoll,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Northern_Mariana_Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto_Rico,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,US_Virgin_Islands,Vermont,Virginia,Wake_Island,Washington,West_Virginia,Wisconsin,Wyoming,note1,note2,note3
17,801267,4/1/2019,Yes,"Duo County Tel. Coop. Corp., Inc.","Duo County Tel. Coop. Corp., Inc.",Incumbent LEC,,0004261061,,PO BOX 80,,,Jamestown,KY,42629,P.O. Box 80,,,Jamestown,KY,42629,(207) 343-3131,,,,,,,,,,,,,,,David Nace,"Lukas, Nace, Gutierrez & Sachs",(202) 363-7201,,(703) 584-8695,dnace@fcclaw.com,"5184 Palisade Ln, NW",,,Washington,DC,20016,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
18,801270,4/1/2019,Yes,"K & M Telephone Company, Inc","K&M Telephone Company, Inc.",Incumbent LEC,,0004314100,,PO Box 187,,,Chambers,NE,68725-0187,101 S. Victoria St,P.O. Box 187,,Chambers,NE,68725-0187,(402) 482-5220,,K & M Telephone Company,,,,,,,,,,,,,Thomas Moorman,Woods & Aitken LLP,(202) 944-9500,,(202) 944-9501,FCCagent@woodsaitken.com,"5335 Wisconsin Avenue, N.W.",Suite 950,,Washington,DC,20015-2092,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
20,801279,4/1/2019,Yes,Rock Port Tel. Co.,Rock Port Telephone Company,Incumbent LEC,ROCK PORT TELEPHONE COMPANY,0004362505,,P O Box 147,214 S Main Street,,Rock Port,MO,64482-0147,P O Box 147,214 S Main Street,,Rock Port,MO,64482-0147,(660) 744-5311,,Rock Port Telephone Company,Rock Port Long Distance,"Rock Port Cablevision, Inc","Rock Port Communications, Inc.",,,,,,,,,,,"National Registered Agents, Inc",(202) 371-8090,,(202) 371-1945,records@nrai.com,"1090 Vermont Ave, NW",Suite 900,,Washington,DC,20005,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
21,801282,4/1/2019,Yes,Cooperative Telephone Company,Cooperative Telephone Company,Incumbent LEC,,0002588192,,704 3rd St,PO Box H,,Victor,IA,52347,704 3rd St,PO Box H,,Victor,IA,52347,(319) 647-3131,,Cooperative Telephone Company,iWireless,,,,,,,,,,,,Ken Johnson,"Herman & Whiteaker, LLC",(202) 827-0664,,(202) 706-6056,ken@hermanwhiteaker.com,"5507 Carolina Place, N.W.",,,Washington,DC,20016,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
22,801285,4/1/2019,Yes,Sweetser Rural Telephone Company,"Sweetser Rural Telephone Company, Inc.",Incumbent LEC,,0002901791,,210 N Main Street,PO Box 200,,Sweetser,IN,46987,210 N Main Street,PO Box 200,,Sweetser,IN,46987,(765) 384-4311,,,,,,,,,,,,,,,Cary Mitchell,"Blooston, Mordofsky, Dickens, Duffy, & Prendergast",(202) 659-0830,,(202) 828-5568,cma@bloostonlaw.com,"2120 L Street, NW",Suite 300,,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
23,801288,4/1/2019,Yes,Ayersville Telephone Co.,Ayersville Telephone Company,Incumbent LEC,,0004328654,,27932 Watson Rd,,,Defiance,OH,43512,27932 Watson Rd,,,Defiance,OH,43512,(419) 395-2222,,Ayersville Telephone Company,,,,,,,,,,,,,National Registered Agents,"National Registered Agents, Inc",(202) 371-8090,,(202) 371-1945,none@usac.com,1090 Vermont Ave  NW,Suite 900,,Washington,DC,20005,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
24,801291,4/1/2019,Yes,Siskiyou Tel. Co.,Siskiyou Telephone Company,Incumbent LEC,SISKIYOU COMMUNICATIONS INC,0001551241,,PO Box 157,,,Etna,CA,96027-0157,PO Box 157,,,Etna,CA,96027-0157,(866) 467-6001,,Siskiyou Telephone Company,,,,,,,,,,,,,Caressa Bennet,Womble Bond Dickinson (US) LLP,(202) 857-4519,,(202) 261-0079,carri.bennet@wbd-us.com,1200 Nineteenth Street NW,Suite 500,,Washington,DC,20036,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
25,801294,4/1/2019,Yes,Kingdom Tel. Co.,Kingdom Telephone Company,Incumbent LEC,KINGDOM TELEPHONE COMPANY,0002212314,,211 S Main St,PO Box 97,,Auxvasse,MO,65231-0097,211 S Main St,PO Box 97,,Auxvasse,MO,65231-0097,(573) 386-2241,,Kingdom Telephone Company,,,,,,,,,,,,,Donald Herman,"Herman & Whiteaker, LLC",(202) 600-7273,,(202) 706-6056,dcagent@hermanwhiteaker.com,"5126 Palisade Lane, NW",,,Washington,DC,20016,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
26,801297,4/1/2019,Yes,Delcambre Tel. Co.,"Delcambre Telephone Company, Inc.",Incumbent LEC,DELCAMBRE TEL CO LLC,0001714245,,104 N Corner St,,,Delcambre,LA,70528,104 N Corner St,,,Delcambre,LA,70528,(337) 685-2311,,"Delcambre Telephone Co., L.L.C.",,,,,,,,,,,,,Blooston,"Blooston, Mordkofsky, Jackson & Dickens",(202) 654-0830,,(202) 828-5568,halmor@bmjd.com,"2120 L St, NW",Suite 300,,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
27,801300,4/1/2019,Yes,Farmers Mutual Tel. Co.,Farmers Mutual Telephone Company,Incumbent LEC,,0003747722,,301 2nd St S,,,Bellingham,MN,56212-1000,301 2nd St S,,,Bellingham,MN,56212-1000,(320) 568-2105,,,,,,,,,,,,,,,,National Telephone Cooperative Association,(703) 351-2000,,(703) 351-2001,sbloomfield@ntca.org,4121 Wilson Blvd,,,Washington,DC,22203,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
28,801303,4/1/2019,Yes,Craw-Kan Telephone Coop. Inc.,"Craw-Kan Telephone Cooperative, Inc.",Incumbent LEC,,0002334225,,200 N Ozark,PO Box 100,,Girard,KS,66743,200 N. Ozark,P.O. Box 100,,Girard,KS,66743,(800) 362-0316,,"Craw-Kan Telephone Cooperative, Inc.",,,,,,,,,,,,,Gerald Duffy,"Blooston, Mordkofsky, Dickens, Duffy & Pendergast,",(202) 659-0830,,(202) 828-5568,gjd@bloostonlaw.com,2120 L St NW,Ste 300,,Washington,DC,20037,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
